Mes chers compatriotes,	친애하는 동포들,	Mi Compatriotots:
Il nous faut, pour cela, rester unis mais aussi maintenir une ambition collective intacte, une ambition pour continuer de transformer notre pays face aux corporatismes, et face à toutes les bonnes raisons de faire comme avant, ou à la tentation de l’esprit de défaite.	이를 위해, 우리는 연합을 유지하고 온전한 집단적 야망, 기업주의에 직면 할 때 우리 나라를 계속 변화시키고, 이전과 같은 모든 좋은 이유, 또는 패배의 정신에 대한 유혹에 직면하려는 야심을 유지해야합니다.	Hoc autem oportet manere sed etiam integrum collective ambitio ambitio permanere transfigurat nostram in faciem corporatisms et adversus omnia bona causas facere prius vel tentationem spiritu.
C’est ainsi que nous serons utiles à notre jeunesse et aux générations qui viennent.	이것이 우리가 젊은이들과 다가오는 세대들에게 유용한 방법입니다.	Hoc est quomodo erimus utilis ad adolescentia et generationes quae veniunt.
Depuis 5 ans, nous avons largement commencé ce travail de transformation, de simplification, de lutte contre les pesanteurs.	5 년 동안, 우리는이 변화, 단순화, 체중에 맞서 싸우는 일을 크게 시작했습니다.	Nam V annos, nos late coepi hoc opus of transformatio, simpliciorem, pugna contra pondus.
Mais c’est parfois trop peu, encore souvent trop lent.	그러나 때로는 너무 적고 종종 너무 느립니다.	Sed suus 'aliquando etiam paulo adhuc saepe tardius.
Et comme vous, je m’impatiente, mais sans jamais céder à la facilité ou à la fatalité.	그리고 당신처럼, 나는 참을성이 없지만, 편안함이나 사망자에게 포기하지 않고.	Et sicut tu, ego adepto impatiens, sed sine semper dare ad otium aut fatum.
Aussi, je nous souhaite pour 2023 par notre travail et notre engagement d’œuvrer à refonder une France plus forte, plus juste, pour la transmettre à nos enfants.	또한, 나는 우리의 일과 더 강력하고 공정한 프랑스를 자녀들에게 전달하기 위해 노력하겠다는 노력으로 2023 년을 기원합니다.	Etiam velim nos MMXXIII per opus et commitment ad operari ad refundam fortius, Fairer Gallia, ut transmit filiis.
C’est par notre travail et notre engagement que nous pourrons augmenter les moyens des forces de sécurité intérieure, de notre justice, de nos Armées, face aux nouveaux défis géopolitiques et à la multiplication des conflits.	우리의 일과 약속을 통해 우리는 내부 안보 세력, 정의, 군대, 새로운 지정 학적 도전과 갈등의 곱셈에 직면 한 수단을 높일 수 있다는 약속입니다.	Est per opus et nostram commitment quod potest crescere media securitate viribus, iustitia nostra exercitibus, adversus novum Geopolitical provocationes et multiplicationem confligit.
C’est par notre travail et notre engagement que nous lutterons plus efficacement contre les trafics, contre l’immigration illégale dans notre Hexagone, comme dans nos outremers.	우리의 일과 헌신을 통해 우리의 아우 트릭에서와 같이 프랑스의 불법 이민에 대해 인신 매매에 대해보다 효과적으로 싸울 것입니다.	Est per opus et nostram commitment ut nos pugnare magis efficacius contra negotiationis, contra illegal immigration in Gallia, sicut in Outremers.
Restons fidèles à nos valeurs, toujours.	항상 우리의 가치에 충실하게합시다.	Sit scriptor maneat fidelis ad nostram values, semper.
Intégrons mieux par la langue et le travail, protégeons les combattantes et les combattants de la liberté, comme celles et ceux qui viennent d’Iran ou d’ailleurs, mais gardons le contrôle de nos frontières, de l’unité de la nation.	언어와 일에 따라 더 잘 통합하면이란이나 다른 곳에서 온 사람들과 같은 자유의 전투기를 보호하지만 국가의 통일성으로부터 국경을 통제하십시오.	Integrate meliorem per linguam et opus, lets 'defendat ad pugnatores libertatis, ut qui ex Iran vel alibi, sed ut imperium nostris terminis, a unitate gentis.
C’est par notre travail et notre engagement que nous bâtirons aussi une nation productive et écologique.	우리의 일과 헌신을 통해 우리는 생산적이고 생태 국가를 건설 할 것입니다.	Est per opus et nostram commitment ut et nos aedificare producta et adipiscing.
Parce que la transition écologique est une bataille que nous devrons gagner, il nous faut la mener avec résolution et méthode.	생태 학적 전환은 우리가 이길 수있는 전투이기 때문에, 우리는 결의와 방법으로 그것을 이끌어야합니다.	Quia adipiscing transitus est proelium nos habere vincere, debemus ducere cum resolutio modum.
La planification écologique sera l’instrument de ce dépassement historique pour baisser nos émissions de C02 et sauver notre biodiversité.	생태 계획은 C02 배출량을 낮추고 생물 다양성을 절약하기 위해이 역사적으로 극복하는 수단이 될 것입니다.	Cuclogum consilio erit instrumentum historiae vincere ad inferiora nostra C02 emissiones et salvificem nostrum biodiversity.
Avec notre plan France 2030, nous continuerons d’investir, d’innover et de déployer une écologie à l’échelle industrielle.	프랑스 2030 계획을 통해 우리는 산업 생태학을 계속 투자, 혁신 및 배포 할 것입니다.	Cum nostris Gallia MMXXXX Plan, nos mos permanere ad obsidendam, innovate et deploy in industriae ecology.
Et après la loi visant à accélérer le déploiement des énergies renouvelables, la loi sur le nucléaire marquera le lancement de la construction de nouvelles centrales sur notre territoire.	그리고 법이 재생 에너지의 배치를 가속화하는 것을 목표로 한 후, 원자력은 우리 영토에 새로운 발전소 건설을 시작할 것입니다.	Et post legem intendebant ad accelerans deployment renovabilis vires, nuclei legem notum est launch ex constructione novae potentia plantis in agro.
C’est par notre travail et notre engagement que nous restaurerons aussi une nation de confiance.	우리의 일과 헌신을 통해 우리는 또한 신뢰 국가를 회복시킬 것입니다.	Est per opus et nostram commitment ut et restituet in gentem fidei.
En rendant chaque jour notre laïcité effective car elle est un principe de liberté. Et elle ne retire rien à la place de la religion dans le for intérieur de chacun, pour tous ceux qui croient, et je salue en cet instant, la mémoire de sa Sainteté Benoît XVI, dont la disparition, je le sais, affecte beaucoup de catholiques en France et dans le monde.	자유의 원칙이기 때문에 매일 우리의 효과적인 세속주의를 만들어냅니다.그리고 그것은 각각의 내부에서 종교 대신에 아무것도 제거하지 않습니다. 믿는 모든 사람들을 위해, 나는이 순간에 경의를 표합니다. 프랑스와 세계.	Per nos efficaciter saecularis quotidie quia principium libertatis.Et non removere aliquid in loco religionis in intus cuiusque, pro omnibus qui credunt, et salutant in hoc momento, in memoria sanctitatis Benedicto XVI, cuius defectio, scio, afficit multum catholicorum Gallia et in mundo.
Cette nation de la confiance sera aussi confortée par une lutte constante contre toutes les discriminations, dans une société de respect et de reconnaissance.	이 신뢰 국가는 또한 존중과 인정의 사회에서 모든 차별에 대한 끊임없는 투쟁으로 강화 될 것입니다.	Gens fiducia confirmari constant certamen contra omnes discrimen, in societate respectu et recognition.
Elle sera aussi renforcée par un combat de chaque jour que nous continuerons de mener pour être aux côtés de celles et ceux qui sont en situation de handicap.	또한 매일 전투에 의해 강화 될 것이며 우리는 장애가있는 사람들과 함께 계속 이어질 것입니다.	Etiam confirmetur per certamine quotidie, ut non permanere ducere ad latere qui cum defectibus.
C’est par notre travail, notre engagement que nous devons refonder nos grands services publics pour qu’ils assurent pleinement notre idéal d’égalité.	우리의 일, 우리는 우리의 주요 공공 서비스에 대한 우리의 이상의 이상을 완전히 확신시키기 위해 우리의 주요 공공 서비스를 수립해야한다는 것은 우리의 노력을 통해서입니다.	Est per opus nostrum, our commitment ut oportet nos refundam nostram major publicum officia ut plene amarificare nostrum specimen aequalitatis.
Avec le Conseil National de la Refondation, nous avons entrepris de renouer le contrat entre les générations et œuvrer à mieux accompagner nos aînés en situation de dépendance.	National Refoundation Council을 통해 우리는 세대 간의 계약을 다시 연결하고 의존의 상황에서 장로들을 더 잘 지원하기 위해 노력했습니다.	Cum nationalibus philosophus consilio nos suscepimus reconnect contractus inter generationem et opus ad meliorem sustentationem senioribus in situ dependentiae.
Nous avons aussi commencé de raviver la confiance dans notre Education nationale, notre santé en nous appuyant sur l’énergie et le dévouement de nos enseignants et de nos soignants.	우리는 또한 교사와 간병인의 에너지와 헌신에 의존함으로써 국가 교육, 건강에 대한 신뢰를 되 찾기 시작했습니다.	Nos quoque coepi ad rekindle fiducia in nostra nationalibus educationem, nostram salutem a freti in industria et dedicationem nostri doctores et caregivers.
Nous poursuivrons avec ardeur durant l’année qui s’ouvre, par des choix clairs, forts, et un travail au plus près du terrain.	우리는 연중 무휴로 열리고 강한 선택과 현장에 가까운 직업으로 열릴 것입니다.	Nos mos permanere cum ardore per annum quod opens, per patet, fortes electiones, et a officium ut prope in agro.
C’est par notre travail et notre engagement que nous bâtirons une société plus juste.	우리의 일과 헌신을 통해 우리는 더 공정한 사회를 건설 할 것입니다.	Est per opus et nostram commitment ut aedificare a pulchrior societatis.
Société plus juste c’est d’abord une société où l’égalité entre les femmes et les hommes est effective, et là aussi, ce qui est la grande cause de mes deux quinquennats, continuera d’alimenter le travail du Gouvernement et de nourrir l’action chaque jour.	더 많은 사회는 우선 여성과 남성 사이의 평등이 효과적인 사회이며, 이는 2 년의 5 년의 큰 원인이기도하며 정부의 업무를 계속해서 매일 행동 할 것입니다.	Societate plus societatis est primum omnium societatis, ubi aequalitas inter mulieres et homines efficax et ibi quoque, quod est magna causa duo quinque annos, et permanere ad pascere opus in regimen et ad pascere cotidie.
Mais une société plus juste, elle l’est aussi sur le plan social.	그러나 더 공정한 사회, 그것은 또한 사회적으로 이루어집니다.	Sed forma societatis socialiter.
Pas par plus d’impôt, non.	더 많은 세금으로는 아닙니다.	Non magis tributo, nulla.
Ni en léguant plus de dette aux générations suivantes.	또한 다음 세대에 더 많은 빚을지는 것도 아닙니다.	Nec per bequea quaerere debitum sequenti generationibus.
Mais, en améliorant l’accompagnement de nos enfants, de nos adolescents, en réformant notre lycée professionnel, en améliorant l’orientation de nos adolescents, pour trouver les bonnes formations et les bons métiers.	그러나, 우리 아이들의 지원을 향상시키고, 십대들의 지원을 향상시키고, 직업 고등학교를 개혁하고, 십대들의 오리엔테이션을 개선하여 올바른 훈련과 좋은 거래를 찾습니다.	Sed per improvidus suscipere liberos nostros eleifend, reforming nostris vocationibus alta schola, meliorem propensionem teenagers, ut ius disciplina et bonam artium.
En réindustrialisant plus vite et plus fort notre pays, pour offrir de nouveaux emplois et des carrières d’avenir.	산업화에서 더 빠르고 강력하게 우리 나라를 강하게하여 미래를위한 새로운 일자리와 경력을 제공합니다.	In reindeustrialisation citius et fortior patriae offerre novum jobs et ipsum pro futuro.
Car la principale injustice de notre pays demeure le déterminisme familial, la trop faible mobilité sociale.	우리 나라의 주요 불의는 가족 결정론으로 남아 있기 때문에 사회적 이동성이 너무 낮습니다.	Quia pelagus iniustitiam patriae manet familia determinismum, etiam humilis socialis mobilitatem.
Et la réponse se trouve dans l’école, dans l’orientation, dans notre enseignement supérieur, dans notre politique d’innovation et dans notre industrialisation.	그리고 답은 학교, 오리엔테이션, 고등 교육, 혁신 정책 및 산업화에 있습니다.	Et responsum est in schola, orientation, in superiore educatione, in nostra innovatione consilium et in industrialem.
Et parce que la confiance dans la vitalité de notre vie démocratique s’est, elle aussi, émoussée, nous aurons nous le savons dans les mois qui viennent beaucoup à faire.	그리고 우리의 민주주의 생활의 활력에 대한 자신감도 깜박 거렸기 때문에, 우리는 많은 일에 많은 일을 할 것입니다.	Et quia fiducia in vitale de Vita Democratica etiam est Blinked, habebimus in mensibus qui veni multum facere.
Je poserai dans toutes prochaines semaines mois les premiers jalons d’un Service National Universel.	나는 보편적 인 국가 봉사의 앞으로 몇 주마다 첫 번째 이정표를받을 것입니다.	Ego sumam primum Milestones in omni pauci weeks de universali nationalibus servitium.
Nous aurons à lancer les aménagements nécessaires à nos institutions et à notre vie publique et citoyenne.	우리는 기관과 대중 및 시민 생활에 필요한 준비를 시작해야합니다.	Nos mos have ut launch in necessaria dispositiones pro nostris institutions et nostra publica et civis vita.
Et avec l’Assemblée nationale et le Sénat, avec également le Conseil économique, social et environnemental, nous aurons à bâtir un meilleur fonctionnement des pouvoirs et une association plus fréquente de nos concitoyens.	그리고 국회와 상원과 함께 경제, 사회 및 환경 협의회와 함께, 우리는 더 나은 권력과 동료 시민들의 더 빈번한 협회를 구축해야 할 것입니다.	Et cum National Conventus et senatus cum etiam oeconomica, sociali et environmental consilio nos habere facere meliorem muneris potentiarum et frequentes consociati nostri cives.
La France et l’Europe ont un rôle éminent à joueur dans ce moment de notre humanité alors que tant de régimes autoritaires viennent bousculer nos démocraties et leurs fondements.	프랑스와 유럽은 많은 권위주의 체제가 우리의 민주주의와 그들의 기초를 흔들고있을 때 우리 인류의 순간에 선수에게 저명한 역할을합니다.	Gallia et Europa habere eminens munus ad ludio ludius in hoc momento nostrae humanitatis cum tot authoritarian regimina commoti sunt nostri populationes et fundamenta.
Protéger nos enfants, protéger notre information libre et indépendante, l’ordre libre et juste qui permet aux citoyens d’être heureux : voilà quelques-uns des combats de notre époque. 	자녀를 보호하고, 자유롭고 독립적 인 정보, 시민들이 행복 할 수있는 자유롭고 단순한 질서를 보호하십시오. 이것은 우리 시대의 싸움 중 일부입니다.	Protegat liberos tuos liberos independens notitia et iustum ut permittit cives felicem: Hi sunt quidam pugnae temporis.
Nous sommes tenus de nous en saisir.	우리는 그것을 압류해야합니다.	Nos requiritur ad carpe est.
Oui, c’est bien par notre travail et notre engagement que nous pourrons nous donner les moyens de nos aspirations pour aujourd’hui et de nos ambitions pour demain.	그렇습니다. 우리의 일과 헌신은 오늘날 우리의 열망의 수단과 내일에 대한 야심을 줄 수 있다는 것입니다.	Ita, quod est per opus et nostram commitment ut non potest nosmetipsos ad nostram spesque pro hodie et nostram ambitiones pro crastino.
En somme, en 2023, nous aurons à consolider pas à pas notre indépendance énergétique, économique, sociale, industrielle, financière, stratégique et à renforcer notre force d’âme, si je puis dire. C’est ce que nous devons à nos enfants.	요컨대, 2023 년에, 우리는 에너지, 경제, 사회, 산업, 재정적, 전략적 독립성을 강화하고 내가 말할 수 있다면 영혼의 힘을 강화해야합니다.이것이 우리가 아이들에게 빚진 것입니다.	In brevi, in MMXXIII, ut non consolidare nostra industria, oeconomica, socialis, industriae, financial, opportuna libertatem et ad confirma robore animae, si licet dicere.Hoc debemus filiis nostris.
Ce n’est pas, et ne sera jamais, une course aux illusions perdues d’avance.	그것은 미리 잃어버린 환상에 대한 경쟁이 아니며 결코 아닐 것입니다.	Non et non esse genus fallaciae amisit in antecessum.
Car cette indépendance française doit trouver dans notre Europe son relai, son complément.	이 프랑스 독립성은 유럽에서 릴레이, 보완 물을 찾아야하기 때문입니다.	Quia hoc modo gallico libertatem inveniamus in nostro Europa eius Nullam, eius complementum.
Quand tant de pays se rêvent des empires, quand tant d’entreprises s’imaginent des royaumes, nous avons un continent, pour former un espace de paix et de liberté, de prospérité, de solidarité, de droit et de puissance.	많은 나라들이 제국을 꿈꾸면 많은 기업들이 왕국을 상상할 때, 우리는 대륙을 가지고 있으며 평화와 자유, 번영, 연대, 법 및 권력의 공간을 형성합니다.	Cum tot regionibus somnium imperia, cum tot societates imaginari regna, habemus continentem, ad formare spatium pacis et libertatis, felicitatem, solidarietatis, lege et potentia.
Depuis 2017, nous menons ce combat pour que notre Europe rassemble ses forces. Pour qu’à 27, nous soyons plus forts. 	2017 년부터, 우리는 유럽이 군대를 모으기 위해이 싸움을 시작하고 있습니다.그래서 27 세에 우리는 더 강합니다.	Cum MMXVII, nos sumus in hoc pugna ad nos in Europam ad coercet copias.Ut ad XXVII, fortior sumus.
C’est pour cela que j’ai mené ce combat ces dernières années, que vous m’avez entendu alerter aussi les autres Européens afin de défendre nos industries et nos emplois, il y a quelques semaines après les décisions des autres continents, et c’est pour cela que je redoublerai d’efforts en ce début d’année.	이것이 내가 최근 몇 년 동안이 싸움을 벌인 이유입니다. 당신은 다른 유럽인들이 다른 대륙의 결정을 내린 후 몇 주 전에 우리의 산업과 직업을 방어하라는 경고를 들었습니다. 연초에.	Hoc est quod ego hunc pugnare in annis, ut audistis me quoque alias aliam Europaeis defendere nostris industries et nostris jobs paucis weeks ago post decisiones aliarum et nisus ad initium anni.
Mes chers compatriotes,	친애하는 동포들,	Mi Compatriotots:
Je veux ici et ce soir en votre nom dire à nos amis Ukrainiens : nous vous respectons et nous vous admirons.	나는 당신을 대신하여 여기와 오늘 밤 우리의 우크라이나 친구들에게 말하기를 원합니다. 우리는 당신을 존중하고 당신을 존경합니다.	Volo hic et hac nocte pro vobis est dicere Ucraina amici: Non respueret te et miramur tibi.
Votre combat pour la défense de votre nation est héroïque et il nous inspire.	당신의 나라의 방어를위한 당신의 싸움은 영웅적이며 우리에게 영감을줍니다.	Tua pugna pro defensione gentis est heroicam et inspirat.
Et durant l’année qui s’ouvre, nous serons sans faillir à vos côtés.	그리고 연중 내내, 우리는 당신 옆에 실패하지 않을 것입니다.	Et per annum aperit, si non deficiente latus.
Nous vous aiderons jusqu’à la victoire et nous serons ensemble pour bâtir une paix juste et durable. Comptez sur la France et comptez sur l’Europe.	우리는 승리 할 때까지 당신을 도울 것이며 우리는 함께 정당하고 지속적인 평화를 구축하기 위해 함께 할 것입니다.프랑스를 의지하고 유럽을 믿습니다.	Nos auxiliatus sum tui usque ad victoriam et non erit simul ad aedificare iustum et perpetuam pacem.Numerare in Gallia et comitem in Europa.
Quant à nous, soyons cette génération de bâtisseurs.	우리에 관해서는, 우리는이 세대의 건축업자입니다.	Ut pro nobis sumus generatione ædificantorum.
Dans les prochains mois de 2023, les travaux de reconstruction de Notre-Dame-de-Paris, ce chantier exceptionnel, s’avanceront vers leur terme.	2023 년의 앞으로 몇 달 동안,이 뛰어난 프로젝트 인 Notre-Dame-De-Paris의 재건 작업은 임기로 진전 될 것입니다.	In adventu mensibus MMXXIII, in reconstruction opus Notre-Dame-De-Paris, hoc eximia project, progredi ad suum terminum.
Dans les prochains mois, tout notre pays se rassemblera fraternellement à l’orée des Jeux Olympiques et Paralympiques et à l’occasion de la coupe du monde de rugby en France.	앞으로 몇 달 안에, 우리 나라는 올림픽 및 장애인 올림픽 게임과 프랑스 럭비 월드컵 행사에서 형제애를 모을 것입니다.	In adventu mensibus tota terra colligentes in ore gladii Olympia et Paralympic ludos et in occasione Rugby Mundi in Gallia.
Dans les prochains mois, grâce au plan France 2030, les premières voitures électriques entièrement construites sur notre territoire sortiront d’usines.	앞으로 몇 달 안에 프랑스 2030 계획 덕분에 우리 영토에 완전히 지어진 최초의 전기 자동차는 공장에서 나올 것입니다.	In adventu mensibus, gratias ad Gallia MMXXXX consilium, in primo electrica cars omnino constructum in territorio veniet de officinis.
Et tant d’autres projets adviendront partout sur notre territoire pour permettre à la France tout à la fois de réduire le carbone et le chômage.	그리고 프랑스가 탄소와 실업을 줄일 수 있도록 다른 많은 프로젝트가 우리 영토에 도달 할 것입니다.	Itaque multis aliis projects veniam ad territorium ubique permittere Gallia ad redigendum ipsum et otium.
Dans les prochains mois, dans nos salles de classe, dans nos hôpitaux, comme chez nos médecins en ville, vous verrez les premiers changements tangibles de la rénovation de notre école et de notre santé.	앞으로 몇 달 안에 교실, 병원, 마을 의사와 마찬가지로 학교와 건강의 개조 공사에서 첫 번째 실질적인 변화가 보일 것입니다.	In adventu menses, in nostra classrooms, in hospitalium, sicut cum nostris doctoribus in oppidum, vos mos animadverto primum tangibile mutationes in renovationis nostrae schola et nos salutem.
Pour tout cela, je forme pour nous tous, des vœux d’unité, des vœux d’audace, des vœux d’ambition collective, et des vœux de bienveillance.	이 모든 것에 대해, 나는 우리 모두를 위해, 연합의 소원, 대담함의 소원, 집단적 야망의 서약, 그리고 자비의 서원을 형성합니다.	Nam omnia, ego formare pro omnibus nobis, voluerit unitatis, voluerit audaciam, vota collectivorum ambitio et vota benevolentiam.
Des crises, mes chers compatriotes, ensemble, nous en avons tant surmontées.	내 사랑하는 동포들, 함께 우리는 너무 많은 극복을 가지고 있습니다.	Crises, mi Compatriotae, simul, habemus adeo superare.
Je nous sais capables de relever celles qui sont devant nous et d’être cette génération qui a la responsabilité de refonder la France et l’Europe pour les transmettre plus fortes, plus belles, plus justes à nos enfants.	나는 우리가 우리 앞에있는 사람들을 데려 갈 수 있고 프랑스와 유럽을 재 설계하여 아이들에게 더 강하고 아름답고 공정하게 전달할 수있는이 세대가 될 수 있다는 것을 알고 있습니다.	Scio quod possumus accipere eos in fronte nobis et esse generationem, quae est reus refounding Gallia et Europa transmit fortior pulchrior, pulchrior filiorum nostris.
Ensemble, nous allons réussir.	함께 우리는 성공할 것입니다.	Simul succedant.
Et c’est fort de cette confiance que je vous présente tous mes vœux pour cette année nouvelle.	그리고 이번 새해에 대한 나의 모든 소원을 당신에게 제시한다는 것은이 자신감이 강합니다.	Et factum est fortis huius fiduciam, quod ad praesens tibi omnia mea voluerit in hoc anno.
Vive la République.	오랫동안 공화국을 산다.	Vivat in rem publicam.
Vive la France.	프랑스여 영원하라.	Vivamus Gallia.
